danceability,speechiness,acousticness
0.691,0.0353,0.686
0.69,0.0507,0.00903
0.587,0.0709,0.000754
0.734,0.135,0.0821
0.4,0.28,0.0846
0.723,0.0625,0.00346
0.965,0.191,0.0206
0.826,0.0524,0.323
0.727,0.0265,0.00214
0.669,0.112,0.194
0.609,0.0531,0.0092
0.733,0.0295,0.0514
0.602,0.0308,0.00126
0.841,0.0379,0.418
0.696,0.097,0.0683
0.832,0.205,0.173
0.762,0.0343,0.00776
0.772,0.0332,0.00585
0.704,0.0309,0.0862
0.671,0.103,0.515
0.723,0.0429,0.00412
0.646,0.034,0.0275
0.847,0.0493,0.0127
0.903,0.05,0.0226
0.659,0.0644,0.27
0.662,0.0345,0.289
0.678,0.0421,0.00559
0.829,0.0369,0.00821
0.876,0.0329,0.0174
0.785,0.0506,0.0149
0.824,0.126,0.0076
0.52,0.0557,0.342
0.781,0.0394,0.0119
0.727,0.064,0.0153
0.795,0.0715,0.0375
0.641,0.0321,0.0152
0.572,0.0558,0.0157
0.889,0.0708,0.0595
0.737,0.0441,0.0195
0.723,0.0659,0.18
0.763,0.0346,0.182
0.561,0.343,0.0015
0.52,0.0482,0.0018
0.514,0.0598,0.00146
0.623,0.0557,0.0191
0.553,0.0889,0.171
0.791,0.11,0.037
0.845,0.139,0.0582
0.836,0.0392,0.0907
0.74,0.0456,0.444
0.718,0.0504,0.531
0.765,0.0542,0.168
0.926,0.342,0.0961
0.798,0.0722,0.219
0.73,0.0394,0.335
0.769,0.155,0.431
0.668,0.391,0.174
0.762,0.0447,0.634
0.765,0.349,0.456
0.544,0.147,0.176
0.72,0.117,0.208
0.888,0.0449,0.475
0.771,0.0797,0.255
0.776,0.0346,0.364
0.785,0.0433,0.276
0.813,0.111,0.316
0.801,0.0391,0.499
0.655,0.247,0.154
0.867,0.125,0.281
0.577,0.229,0.139
0.718,0.0425,0.0607
0.764,0.0631,0.474
0.801,0.208,0.677
0.728,0.275,0.572
0.7,0.26,0.52
0.664,0.392,0.417
0.812,0.176,0.0424
0.862,0.236,0.183
0.697,0.328,0.0356
0.875,0.207,0.0894
0.772,0.0847,0.0361
0.785,0.214,0.116
0.572,0.173,0.697
0.763,0.196,0.371
0.505,0.123,0.607
0.765,0.0624,0.304
0.888,0.145,0.216
0.899,0.0467,0.0145
0.714,0.0423,0.0719
0.86,0.11,0.213
0.664,0.111,0.0353
0.919,0.0992,0.184
0.811,0.0428,0.376
0.894,0.0725,0.0358
0.671,0.161,0.191
0.759,0.0287,0.037
0.719,0.0916,0.00201
0.758,0.0792,0.0848
0.627,0.0425,0.0015
0.819,0.146,0.0193
0.804,0.0397,0.416
0.61,0.152,0.297
0.758,0.0877,0.57
0.87,0.0432,0.0202
0.675,0.0253,0.0165
0.948,0.0705,0.195
0.75,0.142,0.0189
0.532,0.0523,0.0038
0.628,0.0511,0.443
0.746,0.164,0.247
0.725,0.0306,0.162
0.655,0.153,0.198
0.778,0.0707,0.284
0.657,0.0825,0.663
0.794,0.038,0.0426
0.792,0.0393,0.0927
0.737,0.0437,0.0441
0.697,0.25,0.0802
0.744,0.0265,0.0873
0.498,0.0589,0.000313
0.763,0.0262,0.024
0.756,0.0329,0.211
0.479,0.188,0.0406
0.694,0.218,0.278
0.853,0.0411,0.00334
0.783,0.0408,0.0114
0.791,0.0793,0.0994
0.813,0.0486,0.0771
0.697,0.247,0.00271
0.655,0.0539,0.00614
0.82,0.159,0.0133
0.739,0.0373,0.000424
0.594,0.056,0.0338
0.845,0.051,0.0624
0.823,0.0637,0.471
0.434,0.224,0.267
0.903,0.247,0.0335
0.702,0.191,0.139
0.775,0.0408,0.117
0.794,0.25,0.103
0.788,0.0327,0.0127
